	entrance_site	vehicle_class	lambda	intercept	alpha	chisquare	pvalue
0	15	2H	158.14063934254156	5.063484759533251	0.01857030808499442	8568596775996.3		0.0
1	15	2L	5146.837339743586	8.54613768129467	0.030278287750511834	3.7874340989387615e+225	0.0
2	15	3H	110.64445466706496	4.706321949263526	0.008018115786618601	99626.94799281833	0.0
3	15	3L	16.898415327348328	2.8272198499200196	0.12632525525919258	2.270961815486623	0.9864227020745496
4	15	4H	81.2571416823705	4.397618713057088	0.015076591396908834	151062.1714534747	0.0
5	15	4L	19.285011967773777	2.959328212241861	0.03442301459474421	8.246216412862836	0.5095367550759411
6	15	5H	420.9713343721496	6.042564739713852	0.019763874378079638	3.107235271000476e+45	0.0
7	15	6H	19.89604399753021	2.990519952369331	1.5400579600889075e-08	0.25297760070770425	0.9999984314002236
8	15	7H	18.89229242979243	2.938754151164508	5.036439689007716e-06	0.41578638152114494	0.9999862668335593
9	16	2H	26.351535778761857	3.271526773048606	5.18589026851163e-07	0.1059656255344685	0.9999999668152697
10	16	2L	722.0488126545821	6.5820927461588985	0.01813019238102887	1013128503361327.2	0.0
11	16	3H	16.139827026605875	2.7812900360007147	4.2910723432402486e-07	0.13634992392839052	0.9999998980813283
12	16	3L	2.627548786683402	0.9660513935144258	1.0694624773340979e-05	0.34860798837238016	0.9999936137931089
13	16	4H	6.225845201806741	1.8287092845361415	4.819672220897536e-08	0.504437791671278	0.9999683887399852
14	16	4L	2.680660418641188	0.986063191468304	9.725394524111947e-06	0.34104057887978223	0.9999941964981865
15	16	5H	14.360506437081215	2.6644817682093747	2.977206874170317e-07	0.16113132916242878	0.9999997860939519
16	16	6H	2.2276556776556777	0.8009497670143718	9.44217810133058e-06	0.5283722152526067	0.9999614329455614
17	16	7H	2.0507246376811596	0.7181932124883225	3.311594537687424e-05	0.8595104801604125	0.9996987872939274
18	17	2H	154.2398108594304	5.03850844998722	0.012559902436585498	199425515.6277134	0.0
19	17	2L	3755.6139053254424	8.231006986227003	0.017792059050551548	9.158791240497851e+153	0.0
20	17	3H	66.09906269677437	4.191154524805327	0.0034859265681192906	34.37357352966444	7.680736055963862e-05
21	17	3L	12.992843821256296	2.564398730618397	0.04532005794270035	0.37663842420363436	0.9999910580676099
22	17	4H	78.42954240204237	4.362200647242687	0.011778934173847998	33775.16830897854	0.0
23	17	4L	14.66719541328237	2.685613416137358	0.0064480618051483175	0.25601997680796557	0.9999983467573611
24	17	5H	307.7567948717948	5.729309844183326	0.02274953077722901	3.94436905394381e+36	0.0
25	17	6H	16.54690929885917	2.80619969256938	7.339676201945736e-07	0.0968481379264824	0.9999999777810229
26	17	7H	12.90520894703587	2.557630439375127	3.2822313371181054e-07	0.16527572571345348	0.9999997606026642
27	18	2H	48.57494035998327	3.8831076845606223	3.6982472711466223e-06	13.160971122355175	0.15545674595874562
28	18	2L	1801.5802662721899	7.496419520841664	0.020891010241955173	6.020874941033422e+53	0.0
29	18	3H	29.71543765435168	3.3916666527075336	1.108310567160064e-07	0.21007586925051647	0.9999993082759936
30	18	3L	4.8584622943586515	1.5807298066740791	4.609387048803855e-09	0.2830157820982689	0.9999974327140044
31	18	4H	12.592388776464599	2.5330922389671646	3.770920425730366e-07	0.15761921004388493	0.9999998060111117
32	18	4L	4.222176401054557	1.44035187614275	9.29285054386073e-08	0.2558033733990532	0.9999983528968327
33	18	5H	20.101409599807766	3.0007899925774124	4.1494457913188554e-07	0.12687496695277953	0.9999999260090325
34	18	6H	2.9686202686202683	1.0880972650392435	8.098238151479283e-06	0.3073375576603644	0.99999631622088
35	18	7H	6.489255189255189	1.8701478384036303	4.399994454984933e-06	0.16219199326077047	0.9999997797796512
36	19	2H	66.66555078978992	4.199688313962765	0.00046756707578592935	67.52663052259209	4.6416627092457206e-11
37	19	2L	2191.204378698225	7.692206602126621	0.013765983050767362	6.865445565117748e+77	0.0
38	19	3H	32.22811505122844	3.472839220990219	9.782265223009647e-07	0.18721163212881678	0.9999995842917592
39	19	3L	6.929228672747736	1.935747516465113	5.151347722219764e-07	0.1486484915500637	0.9999998504286791
40	19	4H	20.542395253756588	3.0224908664814434	5.577483995703098e-07	0.08387090216049353	0.999999988308589
41	19	4L	5.8120215062603		1.759919600971411	3.757618214734931e-08	0.10097933323888093	0.9999999732313409
42	19	5H	29.709221304058254	3.39145762283412	2.3851556426243563e-06	2.264787898831997	0.986555284464759
43	19	6H	6.320653651903651	1.8438226210322122	3.80156598527966e-08	0.14038209059809648	0.9999998839902752
44	19	7H	4.2914072039072035	1.4566199388668464	5.380656811749247e-08	0.19887728944002547	0.9999994569281172
45	20	2H	34.40406660368617	3.538174705678174	2.615824426929571e-07	2.7051747132963753	0.9748472226129182
46	20	2L	1167.6387869822488	7.062738728469259	0.01542892569462708	3.7469574269647165e+32	0.0
47	20	3H	16.383011261184638	2.7962449811870553	3.415964985137455e-07	0.14830698886632288	0.9999998519481377
48	20	3L	4.421463964031391	1.4864708548323227	1.0814593551192708e-05	0.40865277063780436	0.9999872588247379
49	20	4H	10.31869553627487	2.3339573514044893	0.003986280703998171	0.13445291875883425	0.9999999042344843
50	20	4L	4.311834936490425	1.4613664128916002	5.2550799234464785e-08	0.3748072591168519	0.9999912455242778
51	20	5H	13.232280276931307	2.5826588059410605	4.04578270827275e-07	0.16076928296880566	0.9999997882169858
52	20	6H	5.96358278473663	1.7856702662209225	1.1743502997231834e-07	0.2587101385752314	0.9999982690338983
53	20	7H	4.9986492673992675	1.6091677294167104	0.043418879412601315	0.28607968911527504	0.9999973086154075
