vehicle_class,entrance_site,exit_site,percentage
2L,15,20,0.039909385
2L,15,B2,0.001119098
2L,16,24,0.077843446
2L,16,15,0.002013527
2L,16,21,0.018310189
2L,16,18,0.112815862
2L,16,17,0.629670312
2L,16,23,0.043607996
2L,16,19,0.077199845
2L,16,B1,0.002855529
2L,16,22,0.002401747
2L,16,B3,0.00562799
2L,16,21B,0.003100955
2L,16,16H,0.003162054
2L,16,20,0.021096723
2L,16,B2,0.000293825
2L,17,24,0.060164805
2L,17,15,0.456458776
2L,17,21,0.019224244
2L,17,18,0.127078728
2L,17,17,0
2L,17,23,0.040347939
2L,17,19,0.122177287
2L,17,B1,0.003112752
2L,17,22,0.002714798
2L,17,B3,0.008512822
2L,17,21B,0.003970722
2L,17,16H,0.129199903
2L,17,20,0.026695719
2L,17,B2,0.000341504
2L,18,24,0.061619754
2L,18,15,0.247810815
2L,18,21,0.030591571
2L,18,18,0
2L,18,17,0.262501735
2L,18,23,0.050021443
2L,18,19,0.222534057
2L,18,B1,0.003552736
2L,18,22,0.004500723
2L,18,B3,0.008256207
2L,18,21B,0.005813094
2L,18,16H,0.048289215
2L,18,20,0.054208752
2L,18,B2,0.000299898
2L,19,24,0.069479113
2L,19,15,0.212758569
2L,19,21,0.070879978
2L,19,18,0.171950453
2L,19,17,0.201531739
2L,19,23,0.06387656
2L,19,19,0
2L,19,B1,0.005620183
2L,19,22,0.005032925
2L,19,B3,0.015913064
2L,19,21B,0.013334043
2L,19,16H,0.026704143
2L,19,20,0.142386911
2L,19,B2,0.00053232
2L,20,24,0.083256196
2L,20,15,0.183594311
2L,20,21,0.089585992
2L,20,18,0.095933659
2L,20,17,0.094874616
2L,20,23,0.079989924
2L,20,19,0.296664565
2L,20,B1,0.007578821
2L,20,22,0.007753272
2L,20,B3,0.020748151
2L,20,21B,0.022773482
2L,20,16H,0.016527294
2L,20,20,0
2L,20,B2,0.000719716
2L,21,24,0.19617041
2L,21,15,0.134432546
2L,21,21,0
2L,21,18,0.046497297
2L,21,17,0.060598735
2L,21,23,0.221082368
2L,21,19,0.138016531
2L,21,B1,0.019163116
2L,21,22,0.025033291
2L,21,B3,0.021573672
2L,21,21B,0.034029885
2L,21,16H,0.011618783
2L,21,20,0.090780037
2L,21,B2,0.001003329
2L,21B,24,0.264707908
2L,21B,15,0.041817175
2L,21B,21,0.049597598
2L,21B,18,0.016367763
2L,21B,17,0.023555356
2L,21B,23,0.372663964
2L,21B,19,0.045242225
2L,21B,B1,0.066703075
2L,21B,22,0.030159665
2L,21B,B3,0.03966642
2L,21B,21B,0
2L,21B,16H,0.003822201
2L,21B,20,0.038010655
2L,21B,B2,0.007685993
2L,22,24,0.317605958
2L,22,15,0.045543349
2L,22,21,0.050957938
2L,22,18,0.015448721
2L,22,17,0.019908738
2L,22,23,0.176993438
2L,22,19,0.022848071
2L,22,B1,0.156252881
2L,22,22,0
2L,22,B3,0.101618576
2L,22,21B,0.040107525
2L,22,16H,0.003465047
2L,22,20,0.01629556
2L,22,B2,0.032954198
2L,23,24,0.280689212
2L,23,15,0.213601182
2L,23,21,0.09758613
2L,23,18,0.039601981
2L,23,17,0.063721544
2L,23,23,0
2L,23,19,0.061349832
2L,23,B1,0.003961447
2L,23,22,0.040068829
2L,23,B3,0.018183008
2L,23,21B,0.118980695
2L,23,16H,0.015339865
2L,23,20,0.041378959
2L,23,B2,0.005537317
2L,24,24,0
2L,24,15,0.334314744
2L,24,21,0.077457266
2L,24,18,0.045598632
2L,24,17,0.087454987
2L,24,23,0.19120551
2L,24,19,0.059449467
2L,24,B1,0.001394415
2L,24,22,0.052459775
2L,24,B3,0.010627131
2L,24,21B,0.072811723
2L,24,16H,0.024262671
2L,24,20,0.038747868
2L,24,B2,0.004215811
2L,B1,24,0.002609152
2L,B1,15,0.01645906
2L,B1,21,0.011987932
2L,B1,18,0.003669815
2L,B1,17,0.006983938
2L,B1,23,0.008243251
2L,B1,19,0.007034346
2L,B1,B1,0
2L,B1,22,0.047185016
2L,B1,B3,0.642477238
2L,B1,21B,0.028267432
2L,B1,16H,0.001371166
2L,B1,20,0.005043963
2L,B1,B2,0.21866769
2L,B2,24,0.028905053
2L,B2,15,0.007863929
2L,B2,21,0.001252109
2L,B2,18,0.00077281
2L,B2,17,0.001352418
2L,B2,23,0.024461394
2L,B2,19,0.001517128
2L,B2,B1,0.692067533
2L,B2,22,0.023415759
2L,B2,B3,0.208593181
2L,B2,21B,0.008205839
2L,B2,16H,0.000397334
2L,B2,20,0.001195514
2L,B2,B2,0
2L,B3,24,0.036846433
2L,B3,15,0.045058791
2L,B3,21,0.013390909
2L,B3,18,0.008747215
2L,B3,17,0.016858532
2L,B3,23,0.034166672
2L,B3,19,0.020975911
2L,B3,B1,0.681611705
2L,B3,22,0.031260334
2L,B3,B3,0
2L,B3,21B,0.016067608
2L,B3,16H,0.002755985
2L,B3,20,0.015749982
2L,B3,B2,0.076509926
3H,15,24,0.114579763
3H,15,15,0
3H,15,21,0.030469215
3H,15,18,0.111236387
3H,15,17,0.481617448
3H,15,23,0.153022568
3H,15,19,0.052113963
3H,15,B1,0.007005454
3H,15,22,0.005926073
3H,15,B3,0.020820931
3H,15,21B,0.012261048
3H,15,16H,0
3H,15,20,0.010796818
3H,15,B2,0.000150332
3H,16,24,0.109940683
3H,16,15,0.012476989
3H,16,21,0.011761096
