	entrance_site	vehicle_class	lambda	intercept	alpha	chisquare	pvalue
0	15	2H	151.03829277606445	5.017533399186886	0.018194469063661855	136360.14288631533	0.0
1	15	2L	4796.8838141025635	8.475721780675583	0.04930319943624488	inf			0.0
2	15	3H	113.49330591793829	4.7317438934309575	0.018530631263126346	1211.5056444326642	3.979185163244705e-255
3	15	3L	14.896567229257107	2.701130799109997	0.19060077670059547	6.272419261089491	0.7123740978418873
4	15	4H	76.4823840252044	4.33706044013487	0.05846586984649898	6246.490468418131	0.0
5	15	4L	18.199665035051694	2.901403189245785	0.09480351772272706	5.77797309175351	0.7619176031060999
6	15	5H	407.2153960170264	6.009342275636667	0.022702727634749443	6633241193039049.0	0.0
7	15	6H	20.982271573505354	3.0436779380216388	0.004080572973165697	0.11081600556675973	0.9999999594914645
8	15	7H	16.946877214665676	2.8300835817301153	0.043503491627635844	0.4053365396037123	0.9999877009619826
9	16	2H	25.39004236479335	3.234356944631392	5.169886540307456e-08	0.03900753793386694	0.9999999996200309
10	16	2L	660.716954697724	6.493325540466975	0.028530161277795806	9.504375523935978e+51	0.0
11	16	3H	16.169953310578308	2.783154717376712	3.677672796013601e-07	0.167011491648389	0.9999997492566536
12	16	3L	2.8910660920276308	1.0616252949294545	1.5438628110876214e-05	0.49445625383674197	0.999970990269368
13	16	4H	6.252904227183073	1.8330451405479538	5.621471225695712e-08	0.4147070210057201	0.9999864205747301
14	16	4L	2.619868112656574	0.963123977831887	9.904382502636402e-06	0.35495722251768297	0.9999930913268447
15	16	5H	12.84546391703676	2.5529801026915813	1.8822350417163433e-08	0.14953214073667537	0.9999998464411455
16	16	6H	2.0771520146520146	0.730997731754209	2.5763891451287758e-05	0.8348895549057995	0.9997330719642242
17	16	7H	2.4893617021276593	0.9120263331715905	4.419620715301809e-05	0.23955369474464216	0.9999987659509053
18	17	2H	151.91295397049998	5.023307685026321	0.017055830193787144	61395.30420476236	0.0
19	17	2L	3526.761834319525	8.168135394607841	0.030905909639362877	6.99887779197457e+277	0.0
20	17	3H	70.13594479976733	4.250435221053208	0.022698597205535652	25.43468007190053	0.002526150467772931
21	17	3L	10.979067342709488	2.395990491008131	0.0647101255816808	0.46995317047511803	0.9999766902676852
22	17	4H	71.01705611781767	4.262919934163825	0.023306628186412763	1603.519416855523	0.0
23	17	4L	12.89836929404281	2.557100891985989	0.024895158278159277	0.2427740822255663	0.9999986912407994
24	17	5H	289.3520759368836	5.667644187111786	0.02005075994078022	33095287470.612133	0.0
25	17	6H	16.880784764076914	2.8261758694740142	3.362229614299651e-07	0.09560500708831403	0.9999999790252516
26	17	7H	14.775629071782918	2.6929791391562103	0.015115993627780254	0.13423538024327325	0.9999999049213163
27	18	2H	49.44009311340834	3.9007616922727686	0.005241810164050953	0.36164723039862384	0.9999925061814137
28	18	2L	1691.5397041420115	7.433394460777623	0.03286661774432896	3.050880935111618e+124	0.0
29	18	3H	28.294180221917482	3.3426559383583534	2.7371832839588376e-08	0.053664331364698385	0.9999999984130499
30	18	3L	4.7444855065880915	1.5569812857186796	2.4453658630525405e-07	0.14778153816970913	0.9999998542627473
31	18	4H	12.214152628731249	2.502595554115737	3.223698453114862e-08	0.14144378275322403	0.9999998800415488
32	18	4L	3.9884299268204724	1.3833959386492263	1.0079285675518615e-05	0.31846698595857875	0.9999956962746389
33	18	5H	19.2847837787054	2.9593166412969647	5.09751589180608e-07	0.15159719407915395	0.9999998368024982
34	18	6H	2.6754662004662007	0.9841236417524856	8.823800719774221e-06	0.3893658220423743	0.9999896692492978
35	18	7H	4.69871794871795	1.5472896949267203	0.021536092361306578	0.22492391043228321	0.999999065088485
36	19	2H	67.45070443770275	4.211397060430346	0.010444465342865679	1.287152879188555	0.9984393860312116
37	19	2L	2072.890532544378	7.6366992973483985	0.030059620143155188	2.649531174663428e+156	0.0
38	19	3H	29.680025065019255	3.390474382439402	3.46180709856884e-06	0.16942523572071336	0.9999997327950864
39	19	3L	6.247942337683554	1.8322521835220476	0.0305477485319607	0.3481264907622808	0.9999936521460572
40	19	4H	18.77288894525038	2.9324136588889735	3.127967821685057e-07	0.09020801220712257	0.9999999838156781
41	19	4L	5.415317968633135	1.689230412265316	2.1063125842081466e-07	0.29743955101858993	0.9999968079590635
42	19	5H	28.93413372954276	3.3650221227931603	1.0565863756137145e-06	0.12602032915699177	0.9999999282005232
43	19	6H	6.051472911201417	1.8002946669224134	3.50911066410898e-08	0.4098747414399591	0.9999870928951681
44	19	7H	2.9371565934065935	1.0774419683262098	7.876562415087941e-06	0.59172526887441	0.9999374306382477
45	20	2H	33.74109151146337	3.5187166428599634	1.3603142409989145e-07	0.08743744845039159	0.9999999859193806
46	20	2L	1106.503313609468	7.008960164425021	0.03033616274133893	8.609435894222734e+81	0.0
47	20	3H	15.380227371494636	2.73308280777715	2.95359309558424e-07	0.3483663633230754	0.9999936330614161
48	20	3L	4.2110197880597084	1.4377064458711843	3.5103036839643805e-07	0.3435259342182876	0.9999940097998629
49	20	4H	10.088858880495282	2.311431727677884	1.6878000441678513e-06	0.0998262746732154	0.9999999745676301
50	20	4L	4.102900456080529	1.41169309380176	1.43573654684789e-05	0.1288115194289917	0.9999999208520466
51	20	5H	13.096475673822892	2.5723433526252677	8.805752817300534e-08	0.161542929128094	0.9999997836604411
52	20	6H	5.847658644774029	1.766041254257499	2.109147632266224e-08	0.3049086396908628	0.999996441912104
53	20	7H	3.8943223443223443	1.3595196831891487	3.1713914248537586e-05	0.342873095501345	0.9999940592782651
